Тип_документа;Документ;Описание_документа;Ду1;Ду2;Дн1;Дн2;L1;L2;Стенка1;Стенка2;Масса;Наименование_тройника
ГОСТ;ГОСТ 17376-2001 (ISO 3419-81);Детали трубопроводов бесшовные приварные из углеродистой и низколегированной стали ТРОЙНИКИ;65;50;76;57;152;70;3.5;3.5;5.5;Тройник 65х3.5-50х3.5-65х3.5 ГОСТ 17376-2001
ГОСТ;ГОСТ 17376-2001 (ISO 3419-81);Детали трубопроводов бесшовные приварные из углеродистой и низколегированной стали ТРОЙНИКИ;65;65;76;76;152;76;3.5;3.5;5.5;Тройник 65х3.5 ГОСТ 17376-2001
ГОСТ;ГОСТ 17376-2001 (ISO 3419-81);Детали трубопроводов бесшовные приварные из углеродистой и низколегированной стали ТРОЙНИКИ;80;40;89;48;172;73;3.5;3.5;5.5;Тройник 80х3.5-40х3.5-80х3.5 ГОСТ 17376-2001
ГОСТ;ГОСТ 17376-2001 (ISO 3419-81);Детали трубопроводов бесшовные приварные из углеродистой и низколегированной стали ТРОЙНИКИ;80;50;89;57;172;76;3.5;3.5;5.5;Тройник 80х3.5-50х3.5-80х3.5 ГОСТ 17376-2001
ГОСТ;ГОСТ 17376-2001 (ISO 3419-81);Детали трубопроводов бесшовные приварные из углеродистой и низколегированной стали ТРОЙНИКИ;80;65;89;76;172;83;3.5;3.5;5.5;Тройник 80х3.5-65х3.5-80х3.5 ГОСТ 17376-2001
ГОСТ;ГОСТ 17376-2001 (ISO 3419-81);Детали трубопроводов бесшовные приварные из углеродистой и низколегированной стали ТРОЙНИКИ;80;80;89;89;172;86;3.5;3.5;5.5;Тройник 80х3.5 ГОСТ 17376-2001
ГОСТ;ГОСТ 17376-2001 (ISO 3419-81);Детали трубопроводов бесшовные приварные из углеродистой и низколегированной стали ТРОЙНИКИ;100;50;114;57;210;89;4;3.5;6.7;Тройник 100х4-50х3.5-100х4 ГОСТ 17376-2001
ГОСТ;ГОСТ 17376-2001 (ISO 3419-81);Детали трубопроводов бесшовные приварные из углеродистой и низколегированной стали ТРОЙНИКИ;100;65;114;76;210;95;4;3.5;6.7;Тройник 100х4-65х3.5-100х4 ГОСТ 17376-2001
ГОСТ;ГОСТ 17376-2001 (ISO 3419-81);Детали трубопроводов бесшовные приварные из углеродистой и низколегированной стали ТРОЙНИКИ;100;80;114;89;210;98;4;3.5;6.7;Тройник 100х4-80х3.5-100х4 ГОСТ 17376-2001
ГОСТ;ГОСТ 17376-2001 (ISO 3419-81);Детали трубопроводов бесшовные приварные из углеродистой и низколегированной стали ТРОЙНИКИ;100;100;114;114;210;105;4;4;6.7;Тройник 100х4 ГОСТ 17376-2001
ГОСТ;ГОСТ 17376-2001 (ISO 3419-81);Детали трубопроводов бесшовные приварные из углеродистой и низколегированной стали ТРОЙНИКИ;125;65;133;76;248;108;4;3.5;5.3;Тройник 125х4-65х3.5-125х4 ГОСТ 17376-2001
ГОСТ;ГОСТ 17376-2001 (ISO 3419-81);Детали трубопроводов бесшовные приварные из углеродистой и низколегированной стали ТРОЙНИКИ;125;80;133;89;248;111;4;3.5;5.3;Тройник 125х4-80х3.5-125х4 ГОСТ 17376-2001
ГОСТ;ГОСТ 17376-2001 (ISO 3419-81);Детали трубопроводов бесшовные приварные из углеродистой и низколегированной стали ТРОЙНИКИ;125;100;133;114;248;117;4;4;5.3;Тройник 125х4-100х4-125х4 ГОСТ 17376-2001
ГОСТ;ГОСТ 17376-2001 (ISO 3419-81);Детали трубопроводов бесшовные приварные из углеродистой и низколегированной стали ТРОЙНИКИ;125;125;133;133;248;124;4;4;5.3;Тройник 125х4 ГОСТ 17376-2001
ГОСТ;ГОСТ 17376-2001 (ISO 3419-81);Детали трубопроводов бесшовные приварные из углеродистой и низколегированной стали ТРОЙНИКИ;150;80;159;89;286;124;4;3.5;9.4;Тройник 150х4-80х3.5-150х4 ГОСТ 17376-2001
ГОСТ;ГОСТ 17376-2001 (ISO 3419-81);Детали трубопроводов бесшовные приварные из углеродистой и низколегированной стали ТРОЙНИКИ;150;100;159;114;286;130;4;4;9.4;Тройник 150х4-100х4-150х4 ГОСТ 17376-2001
ГОСТ;ГОСТ 17376-2001 (ISO 3419-81);Детали трубопроводов бесшовные приварные из углеродистой и низколегированной стали ТРОЙНИКИ;150;125;159;133;286;137;4;4;9.4;Тройник 150х4-125х4-150х4 ГОСТ 17376-2001
ГОСТ;ГОСТ 17376-2001 (ISO 3419-81);Детали трубопроводов бесшовные приварные из углеродистой и низколегированной стали ТРОЙНИКИ;150;150;159;159;286;143;4;4;9.4;Тройник 150х4 ГОСТ 17376-2001
