Тип_документа;Документ;Описание_документа;Ду;D1;D2;D3;D4;D5;h1;h2;h3;d;n;Наименование_фланца
ASME;ASME B16.5-2013 WN Class 400;Pipe Flanges and Flanged Fittings;80;88,9;117;210;127;168,3;51,2;31,8;7;23;8;Weld Neck Flange DN 80 SA-53 ASME B16.5-2013 Class 400	
ASME;ASME B16.5-2013 WN Class 400;Pipe Flanges and Flanged Fittings;90;101,6;133;230;139,7;184,2;51;35;7;26;8;Weld Neck Flange DN 90 SA-53 ASME B16.5-2013 Class 400	
ASME;ASME B16.5-2013 WN Class 400;Pipe Flanges and Flanged Fittings;100;114,3;146;255;157,2;200;54;35;7;26;8;Weld Neck Flange DN 100 SA-53 ASME B16.5-2013 Class 400	
ASME;ASME B16.5-2013 WN Class 400;Pipe Flanges and Flanged Fittings;125;141,3;178;280;185,7;235;63,9;38,1;7;26;8;Weld Neck Flange DN 125 SA-53 ASME B16.5-2013 Class 400	
ASME;ASME B16.5-2013 WN Class 400;Pipe Flanges and Flanged Fittings;150;168,3;206;320;215,9;269,9;61,7;41,3;7;26;12;Weld Neck Flange DN 150 SA-53 ASME B16.5-2013 Class 400	
ASME;ASME B16.5-2013 WN Class 400;Pipe Flanges and Flanged Fittings;200;219,1;260;380;269,9;330;69,3;47,7;7;29;12;Weld Neck Flange DN 200 SA-53 ASME B16.5-2013 Class 400	
ASME;ASME B16.5-2013 WN Class 400;Pipe Flanges and Flanged Fittings;250;273;321;445;323,8;387,4;70;54;7;32;16;Weld Neck Flange DN 250 SA-53 ASME B16.5-2013 Class 400	
ASME;ASME B16.5-2013 WN Class 400;Pipe Flanges and Flanged Fittings;300;323,8;375;520;381;450,8;79,8;57,2;7;35;16;Weld Neck Flange DN 300 SA-53 ASME B16.5-2013 Class 400	
ASME;ASME B16.5-2013 WN Class 400;Pipe Flanges and Flanged Fittings;350;355,6;425;585;412,8;514,4;88,6;60,4;7;35;20;Weld Neck Flange DN 350 SA-53 ASME B16.5-2013 Class 400	
ASME;ASME B16.5-2013 WN Class 400;Pipe Flanges and Flanged Fittings;400;406,4;483;650;469,9;571,5;88,5;63,5;7;39;20;Weld Neck Flange DN 400 SA-53 ASME B16.5-2013 Class 400	
ASME;ASME B16.5-2013 WN Class 400;Pipe Flanges and Flanged Fittings;450;457;533;710;533,4;628,6;98,3;66,7;7;39;24;Weld Neck Flange DN 450 SA-53 ASME B16.5-2013 Class 400	
ASME;ASME B16.5-2013 WN Class 400;Pipe Flanges and Flanged Fittings;500;508;587;775;584,2;685,8;98,1;69,9;7;42;24;Weld Neck Flange DN 500 SA-53 ASME B16.5-2013 Class 400	
ASME;ASME B16.5-2013 WN Class 400;Pipe Flanges and Flanged Fittings;600;610;702;915;692,2;812,8;98,8;76,2;7;48;24;Weld Neck Flange DN 600 SA-53 ASME B16.5-2013 Class 400	
ASME;ASME B16.5-2013 WN Class 600;Pipe Flanges and Flanged Fittings;15;21,3;38;95;34,9;66,7;37,7;14,3;7;16;4;Weld Neck Flange DN 15 SA-53 ASME B16.5-2013 Class 600	
ASME;ASME B16.5-2013 WN Class 600;Pipe Flanges and Flanged Fittings;20;26,7;48;115;42,9;82,6;41,1;15,9;7;20;4;Weld Neck Flange DN 20 SA-53 ASME B16.5-2013 Class 600	
ASME;ASME B16.5-2013 WN Class 600;Pipe Flanges and Flanged Fittings;25;33,4;54;125;50,8;88,9;44,5;17,5;7;20;4;Weld Neck Flange DN 25 SA-53 ASME B16.5-2013 Class 600	
ASME;ASME B16.5-2013 WN Class 600;Pipe Flanges and Flanged Fittings;32;42,2;64;135;63,5;98,4;46,3;20,7;7;20;4;Weld Neck Flange DN 32 SA-53 ASME B16.5-2013 Class 600	
ASME;ASME B16.5-2013 WN Class 600;Pipe Flanges and Flanged Fittings;40;48,3;70;155;73;114,3;47,7;22,3;7;23;4;Weld Neck Flange DN 40 SA-53 ASME B16.5-2013 Class 600	
ASME;ASME B16.5-2013 WN Class 600;Pipe Flanges and Flanged Fittings;50;60,3;84;165;92,1;127;47,6;25,4;7;20;8;Weld Neck Flange DN 50 SA-53 ASME B16.5-2013 Class 600	
ASME;ASME B16.5-2013 WN Class 600;Pipe Flanges and Flanged Fittings;65;73;100;190;104,8;149,2;50,4;28,6;7;23;8;Weld Neck Flange DN 65 SA-53 ASME B16.5-2013 Class 600	
ASME;ASME B16.5-2013 WN Class 600;Pipe Flanges and Flanged Fittings;80;88,9;117;210;127;168,3;51,2;31,8;7;23;8;Weld Neck Flange DN 80 SA-53 ASME B16.5-2013 Class 600	
ASME;ASME B16.5-2013 WN Class 600;Pipe Flanges and Flanged Fittings;90;101,6;133;230;139,7;184,2;51;35;7;26;8;Weld Neck Flange DN 90 SA-53 ASME B16.5-2013 Class 600	
ASME;ASME B16.5-2013 WN Class 600;Pipe Flanges and Flanged Fittings;100;114,3;152;275;157,2;215,9;63,9;38,1;7;26;8;Weld Neck Flange DN 100 SA-53 ASME B16.5-2013 Class 600	
ASME;ASME B16.5-2013 WN Class 600;Pipe Flanges and Flanged Fittings;125;141,3;189;330;185,7;266,7;69,5;44,5;7;29;8;Weld Neck Flange DN 125 SA-53 ASME B16.5-2013 Class 600	
ASME;ASME B16.5-2013 WN Class 600;Pipe Flanges and Flanged Fittings;150;168,3;222;355;215,9;292,1;69,3;47,7;7;29;12;Weld Neck Flange DN 150 SA-53 ASME B16.5-2013 Class 600	
ASME;ASME B16.5-2013 WN Class 600;Pipe Flanges and Flanged Fittings;200;219,1;273;420;269,9;349,2;77,4;55,6;7;32;12;Weld Neck Flange DN 200 SA-53 ASME B16.5-2013 Class 600	
ASME;ASME B16.5-2013 WN Class 600;Pipe Flanges and Flanged Fittings;250;273;343;510;323,8;431,8;88,5;63,5;7;35;16;Weld Neck Flange DN 250 SA-53 ASME B16.5-2013 Class 600	
ASME;ASME B16.5-2013 WN Class 600;Pipe Flanges and Flanged Fittings;300;323,8;400;560;381;489;89,3;66,7;7;35;20;Weld Neck Flange DN 300 SA-53 ASME B16.5-2013 Class 600	
ASME;ASME B16.5-2013 WN Class 600;Pipe Flanges and Flanged Fittings;350;355,6;432;605;412,8;527;95,1;69,9;7;39;20;Weld Neck Flange DN 350 SA-53 ASME B16.5-2013 Class 600	
ASME;ASME B16.5-2013 WN Class 600;Pipe Flanges and Flanged Fittings;400;406,4;495;685;469,9;603,2;101,8;76,2;7;42;20;Weld Neck Flange DN 400 SA-53 ASME B16.5-2013 Class 600	
ASME;ASME B16.5-2013 WN Class 600;Pipe Flanges and Flanged Fittings;450;457;546;745;533,4;654;101,4;82,6;7;45;20;Weld Neck Flange DN 450 SA-53 ASME B16.5-2013 Class 600	
ASME;ASME B16.5-2013 WN Class 600;Pipe Flanges and Flanged Fittings;500;508;610;815;584,2;723,9;101,1;88,9;7;45;24;Weld Neck Flange DN 500 SA-53 ASME B16.5-2013 Class 600	
ASME;ASME B16.5-2013 WN Class 600;Pipe Flanges and Flanged Fittings;600;610;718;940;692,2;838,2;101,4;101,6;7;51;24;Weld Neck Flange DN 600 SA-53 ASME B16.5-2013 Class 600	
ASME;ASME B16.5-2013 WN Class 900;Pipe Flanges and Flanged Fittings;15;21,3;38;120;34,9;82,6;37,7;22,3;7;23;4;Weld Neck Flange DN 15 SA-53 ASME B16.5-2013 Class 900	
ASME;ASME B16.5-2013 WN Class 900;Pipe Flanges and Flanged Fittings;20;26,7;44;130;42,9;88,9;44,6;25,4;7;23;4;Weld Neck Flange DN 20 SA-53 ASME B16.5-2013 Class 900	
ASME;ASME B16.5-2013 WN Class 900;Pipe Flanges and Flanged Fittings;25;33,4;52;150;50,8;101,6;44,4;28,6;7;26;4;Weld Neck Flange DN 25 SA-53 ASME B16.5-2013 Class 900	
ASME;ASME B16.5-2013 WN Class 900;Pipe Flanges and Flanged Fittings;32;42,2;64;160;63,5;111,1;44,4;28,6;7;26;4;Weld Neck Flange DN 32 SA-53 ASME B16.5-2013 Class 900	
ASME;ASME B16.5-2013 WN Class 900;Pipe Flanges and Flanged Fittings;40;48,3;70;180;73;123,8;51,2;31,8;7;29;4;Weld Neck Flange DN 40 SA-53 ASME B16.5-2013 Class 900	
ASME;ASME B16.5-2013 WN Class 900;Pipe Flanges and Flanged Fittings;50;60,3;105;215;92,1;165,1;63,9;38,1;7;26;8;Weld Neck Flange DN 50 SA-53 ASME B16.5-2013 Class 900	
ASME;ASME B16.5-2013 WN Class 900;Pipe Flanges and Flanged Fittings;65;73;124;245;104,8;190,5;63,7;41,3;7;29;8;Weld Neck Flange DN 65 SA-53 ASME B16.5-2013 Class 900	
ASME;ASME B16.5-2013 WN Class 900;Pipe Flanges and Flanged Fittings;80;88,9;127;240;127;190,5;63,9;38,1;7;26;8;Weld Neck Flange DN 80 SA-53 ASME B16.5-2013 Class 900	
ASME;ASME B16.5-2013 WN Class 900;Pipe Flanges and Flanged Fittings;100;114,3;159;290;157,2;235;69,5;44,5;7;32;8;Weld Neck Flange DN 100 SA-53 ASME B16.5-2013 Class 900	
ASME;ASME B16.5-2013 WN Class 900;Pipe Flanges and Flanged Fittings;125;141,3;190;350;185,7;279,4;76,2;50,8;7;35;12;Weld Neck Flange DN 125 SA-53 ASME B16.5-2013 Class 900	
ASME;ASME B16.5-2013 WN Class 900;Pipe Flanges and Flanged Fittings;150;168,3;235;380;215,9;317,5;84,4;55,6;7;32;12;Weld Neck Flange DN 150 SA-53 ASME B16.5-2013 Class 900	
ASME;ASME B16.5-2013 WN Class 900;Pipe Flanges and Flanged Fittings;200;219,1;298;470;269,9;393,7;98,5;63,5;7;39;16;Weld Neck Flange DN 200 SA-53 ASME B16.5-2013 Class 900	
ASME;ASME B16.5-2013 WN Class 900;Pipe Flanges and Flanged Fittings;250;273;368;545;323,8;469,9;114,1;69,9;7;39;20;Weld Neck Flange DN 250 SA-53 ASME B16.5-2013 Class 900	
ASME;ASME B16.5-2013 WN Class 900;Pipe Flanges and Flanged Fittings;300;323,8;419;610;381;533,4;120,6;79,4;7;39;20;Weld Neck Flange DN 300 SA-53 ASME B16.5-2013 Class 900	
ASME;ASME B16.5-2013 WN Class 900;Pipe Flanges and Flanged Fittings;350;355,6;451;640;412,8;558,8;127,2;85,8;7;42;20;Weld Neck Flange DN 350 SA-53 ASME B16.5-2013 Class 900	
ASME;ASME B16.5-2013 WN Class 900;Pipe Flanges and Flanged Fittings;400;406,4;508;705;469,9;616;127,1;88,9;7;45;20;Weld Neck Flange DN 400 SA-53 ASME B16.5-2013 Class 900	
ASME;ASME B16.5-2013 WN Class 900;Pipe Flanges and Flanged Fittings;450;457;565;785;533,4;685,8;127,4;101,6;7;51;20;Weld Neck Flange DN 450 SA-53 ASME B16.5-2013 Class 900	
ASME;ASME B16.5-2013 WN Class 900;Pipe Flanges and Flanged Fittings;500;508;622;855;584,2;749,3;140;108;7;54;20;Weld Neck Flange DN 500 SA-53 ASME B16.5-2013 Class 900	
ASME;ASME B16.5-2013 WN Class 900;Pipe Flanges and Flanged Fittings;600;610;749;1040;692,2;901,7;152,3;139,7;7;67;20;Weld Neck Flange DN 600 SA-53 ASME B16.5-2013 Class 900	
ASME;ASME B16.5-2013 WN Class 1500;Pipe Flanges and Flanged Fittings;15;21,3;38;120;34,9;82,6;37,7;22,3;7;23;4;Weld Neck Flange DN 15 SA-53 ASME B16.5-2013 Class 1500	
ASME;ASME B16.5-2013 WN Class 1500;Pipe Flanges and Flanged Fittings;20;26,7;44;130;42,9;88,9;44,6;25,4;7;23;4;Weld Neck Flange DN 20 SA-53 ASME B16.5-2013 Class 1500	
ASME;ASME B16.5-2013 WN Class 1500;Pipe Flanges and Flanged Fittings;25;33,4;52;150;50,8;101,6;44,4;28,6;7;26;4;Weld Neck Flange DN 25 SA-53 ASME B16.5-2013 Class 1500	
ASME;ASME B16.5-2013 WN Class 1500;Pipe Flanges and Flanged Fittings;32;42,2;64;160;63,5;111,1;44,4;28,6;7;26;4;Weld Neck Flange DN 32 SA-53 ASME B16.5-2013 Class 1500	
ASME;ASME B16.5-2013 WN Class 1500;Pipe Flanges and Flanged Fittings;40;48,3;70;180;73;123,8;51,2;31,8;7;29;4;Weld Neck Flange DN 40 SA-53 ASME B16.5-2013 Class 1500	
ASME;ASME B16.5-2013 WN Class 1500;Pipe Flanges and Flanged Fittings;50;60,3;105;215;92,1;165,1;63,9;38,1;7;26;8;Weld Neck Flange DN 50 SA-53 ASME B16.5-2013 Class 1500	
ASME;ASME B16.5-2013 WN Class 1500;Pipe Flanges and Flanged Fittings;65;73;124;245;104,8;190,5;63,7;41,3;7;29;8;Weld Neck Flange DN 65 SA-53 ASME B16.5-2013 Class 1500	
ASME;ASME B16.5-2013 WN Class 1500;Pipe Flanges and Flanged Fittings;80;88,9;133;265;127;203,2;69,3;47,7;7;32;8;Weld Neck Flange DN 80 SA-53 ASME B16.5-2013 Class 1500	
ASME;ASME B16.5-2013 WN Class 1500;Pipe Flanges and Flanged Fittings;100;114,3;162;310;157,2;241,3;70;54;7;35;8;Weld Neck Flange DN 100 SA-53 ASME B16.5-2013 Class 1500	
ASME;ASME B16.5-2013 WN Class 1500;Pipe Flanges and Flanged Fittings;125;141,3;197;375;185,7;292,1;82,9;73,1;7;42;8;Weld Neck Flange DN 125 SA-53 ASME B16.5-2013 Class 1500	
ASME;ASME B16.5-2013 WN Class 1500;Pipe Flanges and Flanged Fittings;150;168,3;229;395;215,9;317,5;88,4;82,6;7;39;12;Weld Neck Flange DN 150 SA-53 ASME B16.5-2013 Class 1500	
ASME;ASME B16.5-2013 WN Class 1500;Pipe Flanges and Flanged Fittings;200;219,1;292;485;269,9;393,7;120,9;92,1;7;45;12;Weld Neck Flange DN 200 SA-53 ASME B16.5-2013 Class 1500	
ASME;ASME B16.5-2013 WN Class 1500;Pipe Flanges and Flanged Fittings;250;273;368;585;323,8;482,6;146;108;7;51;12;Weld Neck Flange DN 250 SA-53 ASME B16.5-2013 Class 1500	
ASME;ASME B16.5-2013 WN Class 1500;Pipe Flanges and Flanged Fittings;300;323,8;451;675;381;571,5;159,1;123,9;7;54;16;Weld Neck Flange DN 300 SA-53 ASME B16.5-2013 Class 1500	
ASME;ASME B16.5-2013 WN Class 1500;Pipe Flanges and Flanged Fittings;350;355,6;495;750;412,8;635;164,6;133,4;7;61;16;Weld Neck Flange DN 350 SA-53 ASME B16.5-2013 Class 1500	
ASME;ASME B16.5-2013 WN Class 1500;Pipe Flanges and Flanged Fittings;400;406,4;552;825;469,9;704,8;164,9;146,1;7;67;16;Weld Neck Flange DN 400 SA-53 ASME B16.5-2013 Class 1500	
ASME;ASME B16.5-2013 WN Class 1500;Pipe Flanges and Flanged Fittings;450;457;597;915;533,4;774,7;165;162;7;74;16;Weld Neck Flange DN 450 SA-53 ASME B16.5-2013 Class 1500	
ASME;ASME B16.5-2013 WN Class 1500;Pipe Flanges and Flanged Fittings;500;508;641;985;584,2;831,8;178,2;177,8;7;80;16;Weld Neck Flange DN 500 SA-53 ASME B16.5-2013 Class 1500	
ASME;ASME B16.5-2013 WN Class 1500;Pipe Flanges and Flanged Fittings;600;610;762;1170;692,2;990,6;202,8;203,2;7;93;16;Weld Neck Flange DN 600 SA-53 ASME B16.5-2013 Class 1500	
ASME;ASME B16.5-2013 WN Class 2500;Pipe Flanges and Flanged Fittings;15;21,3;43;135;34,9;88,9;42,8;30,2;7;23;4;Weld Neck Flange DN 15 SA-53 ASME B16.5-2013 Class 2500	
ASME;ASME B16.5-2013 WN Class 2500;Pipe Flanges and Flanged Fittings;20;26,7;51;140;42,9;95,2;47,2;31,8;7;23;4;Weld Neck Flange DN 20 SA-53 ASME B16.5-2013 Class 2500	
ASME;ASME B16.5-2013 WN Class 2500;Pipe Flanges and Flanged Fittings;25;33,4;57;160;50,8;108;54;35;7;26;4;Weld Neck Flange DN 25 SA-53 ASME B16.5-2013 Class 2500	
ASME;ASME B16.5-2013 WN Class 2500;Pipe Flanges and Flanged Fittings;32;42,2;73;185;63,5;130,2;56,9;38,1;7;29;4;Weld Neck Flange DN 32 SA-53 ASME B16.5-2013 Class 2500	
ASME;ASME B16.5-2013 WN Class 2500;Pipe Flanges and Flanged Fittings;40;48,3;79;205;73;146;66,5;44,5;7;32;4;Weld Neck Flange DN 40 SA-53 ASME B16.5-2013 Class 2500	
ASME;ASME B16.5-2013 WN Class 2500;Pipe Flanges and Flanged Fittings;50;60,3;95;235;92,1;171,4;76,1;50,9;7;29;8;Weld Neck Flange DN 50 SA-53 ASME B16.5-2013 Class 2500	
ASME;ASME B16.5-2013 WN Class 2500;Pipe Flanges and Flanged Fittings;65;73;114;265;104,8;196,8;85,8;57,2;7;32;8;Weld Neck Flange DN 65 SA-53 ASME B16.5-2013 Class 2500	
ASME;ASME B16.5-2013 WN Class 2500;Pipe Flanges and Flanged Fittings;80;88,9;133;305;127;228,6;101,3;66,7;7;35;8;Weld Neck Flange DN 80 SA-53 ASME B16.5-2013 Class 2500	
ASME;ASME B16.5-2013 WN Class 2500;Pipe Flanges and Flanged Fittings;100;114,3;165;355;157,2;273;113,8;76,2;7;42;8;Weld Neck Flange DN 100 SA-53 ASME B16.5-2013 Class 2500	
ASME;ASME B16.5-2013 WN Class 2500;Pipe Flanges and Flanged Fittings;125;141,3;203;420;185,7;323,8;136,9;92,1;7;48;8;Weld Neck Flange DN 125 SA-53 ASME B16.5-2013 Class 2500	
ASME;ASME B16.5-2013 WN Class 2500;Pipe Flanges and Flanged Fittings;150;168,3;235;485;215,9;368,3;165;108;7;54;8;Weld Neck Flange DN 150 SA-53 ASME B16.5-2013 Class 2500	
ASME;ASME B16.5-2013 WN Class 2500;Pipe Flanges and Flanged Fittings;200;219,1;305;550;269,9;438,2;191;127;7;54;12;Weld Neck Flange DN 200 SA-53 ASME B16.5-2013 Class 2500	
ASME;ASME B16.5-2013 WN Class 2500;Pipe Flanges and Flanged Fittings;250;273;375;675;323,8;539,8;253,9;165,1;7;67;12;Weld Neck Flange DN 250 SA-53 ASME B16.5-2013 Class 2500	
ASME;ASME B16.5-2013 WN Class 2500;Pipe Flanges and Flanged Fittings;300;323,8;441;760;381;619,1;279,8;184,2;7;74;12;Weld Neck Flange DN 300 SA-53 ASME B16.5-2013 Class 2500	
ASME;ASME B16.5-2013 SO Class 150;Pipe Flanges and Flanged Fittings;15;30;30;90;34,9;60,3;4,4;9,6;2;16;4;Slip On Flange DN 15 SA-53 ASME B16.5-2013 Class 150
ASME;ASME B16.5-2013 SO Class 150;Pipe Flanges and Flanged Fittings;20;38;38;100;42,9;69,9;2,8;11,2;2;16;4;Slip On Flange DN 20 SA-53 ASME B16.5-2013 Class 150
ASME;ASME B16.5-2013 SO Class 150;Pipe Flanges and Flanged Fittings;25;49;49;110;50,8;79,4;3,3;12,7;2;16;4;Slip On Flange DN 25 SA-53 ASME B16.5-2013 Class 150
ASME;ASME B16.5-2013 SO Class 150;Pipe Flanges and Flanged Fittings;32;59;59;115;63,5;88,9;4,7;14,3;2;16;4;Slip On Flange DN 32 SA-53 ASME B16.5-2013 Class 150
ASME;ASME B16.5-2013 SO Class 150;Pipe Flanges and Flanged Fittings;40;65;65;125;73;98,4;5,1;15,9;2;16;4;Slip On Flange DN 40 SA-53 ASME B16.5-2013 Class 150
ASME;ASME B16.5-2013 SO Class 150;Pipe Flanges and Flanged Fittings;50;78;78;150;92,1;120,7;6,5;17,5;2;20;4;Slip On Flange DN 50 SA-53 ASME B16.5-2013 Class 150
ASME;ASME B16.5-2013 SO Class 150;Pipe Flanges and Flanged Fittings;65;90;90;180;104,8;139,7;6,3;20,7;2;20;4;Slip On Flange DN 65 SA-53 ASME B16.5-2013 Class 150
ASME;ASME B16.5-2013 SO Class 150;Pipe Flanges and Flanged Fittings;80;108;108;190;127;152,4;6,7;22,3;2;20;4;Slip On Flange DN 80 SA-53 ASME B16.5-2013 Class 150
ASME;ASME B16.5-2013 SO Class 150;Pipe Flanges and Flanged Fittings;90;122;122;215;139,7;177,8;7,7;22,3;2;20;8;Slip On Flange DN 90 SA-53 ASME B16.5-2013 Class 150
ASME;ASME B16.5-2013 SO Class 150;Pipe Flanges and Flanged Fittings;100;135;135;230;157,2;190,5;9,7;22,3;2;20;8;Slip On Flange DN 100 SA-53 ASME B16.5-2013 Class 150
ASME;ASME B16.5-2013 SO Class 150;Pipe Flanges and Flanged Fittings;125;164;164;255;185,7;215,9;12,7;22,3;2;23;8;Slip On Flange DN 125 SA-53 ASME B16.5-2013 Class 150
ASME;ASME B16.5-2013 SO Class 150;Pipe Flanges and Flanged Fittings;150;192;192;280;215,9;241,3;14,1;23,9;2;23;8;Slip On Flange DN 150 SA-53 ASME B16.5-2013 Class 150
ASME;ASME B16.5-2013 SO Class 150;Pipe Flanges and Flanged Fittings;200;246;246;345;269,9;298,5;16;27;2;23;8;Slip On Flange DN 200 SA-53 ASME B16.5-2013 Class 150
ASME;ASME B16.5-2013 SO Class 150;Pipe Flanges and Flanged Fittings;250;305;305;405;323,8;362;19,4;28,6;2;26;12;Slip On Flange DN 250 SA-53 ASME B16.5-2013 Class 150
ASME;ASME B16.5-2013 SO Class 150;Pipe Flanges and Flanged Fittings;300;365;365;485;381;431,8;23,8;30,2;2;26;12;Slip On Flange DN 300 SA-53 ASME B16.5-2013 Class 150
ASME;ASME B16.5-2013 SO Class 150;Pipe Flanges and Flanged Fittings;350;400;400;535;412,8;476,3;22,6;33,4;2;29;12;Slip On Flange DN 350 SA-53 ASME B16.5-2013 Class 150
ASME;ASME B16.5-2013 SO Class 150;Pipe Flanges and Flanged Fittings;400;457;457;595;469,9;539,8;27;35;2;29;16;Slip On Flange DN 400 SA-53 ASME B16.5-2013 Class 150
ASME;ASME B16.5-2013 SO Class 150;Pipe Flanges and Flanged Fittings;450;505;505;635;533,4;577,9;28,9;38,1;2;32;16;Slip On Flange DN 450 SA-53 ASME B16.5-2013 Class 150
ASME;ASME B16.5-2013 SO Class 150;Pipe Flanges and Flanged Fittings;500;559;559;700;584,2;635;29,7;41,3;2;32;20;Slip On Flange DN 500 SA-53 ASME B16.5-2013 Class 150
ASME;ASME B16.5-2013 SO Class 150;Pipe Flanges and Flanged Fittings;600;663;663;815;692,2;749,5;34,9;46,1;2;35;20;Slip On Flange DN 600 SA-53 ASME B16.5-2013 Class 150
ASME;ASME B16.5-2013 SO Class 300; Pipe Flanges and Flanged Fittings;15;38;38;95;34,9;66,7;8,3;12,7;2;16;4;Slip On Flange DN 15 SA-53 ASME B16.5-2013 Class 300
ASME;ASME B16.5-2013 SO Class 300; Pipe Flanges and Flanged Fittings;20;48;48;115;42,9;82,6;9,7;14,3;2;20;4;Slip On Flange DN 20 SA-53 ASME B16.5-2013 Class 300
ASME;ASME B16.5-2013 SO Class 300; Pipe Flanges and Flanged Fittings;25;54;54;125;50,8;88,9;9,1;15,9;2;20;4;Slip On Flange DN 25 SA-53 ASME B16.5-2013 Class 300
ASME;ASME B16.5-2013 SO Class 300; Pipe Flanges and Flanged Fittings;32;64;64;135;63,5;98,4;7,5;17,5;2;20;4;Slip On Flange DN 32 SA-53 ASME B16.5-2013 Class 300
ASME;ASME B16.5-2013 SO Class 300; Pipe Flanges and Flanged Fittings;40;70;70;155;73;114,3;9,9;19,1;2;23;4;Slip On Flange DN 40 SA-53 ASME B16.5-2013 Class 300
ASME;ASME B16.5-2013 SO Class 300; Pipe Flanges and Flanged Fittings;50;84;84;165;92,1;127;11,3;20,7;2;20;8;Slip On Flange DN 50 SA-53 ASME B16.5-2013 Class 300
ASME;ASME B16.5-2013 SO Class 300; Pipe Flanges and Flanged Fittings;65;100;100;190;104,8;149,2;13,1;23,9;2;23;8;Slip On Flange DN 65 SA-53 ASME B16.5-2013 Class 300
ASME;ASME B16.5-2013 SO Class 300; Pipe Flanges and Flanged Fittings;80;117;117;210;127;168,3;14;27;2;23;8;Slip On Flange DN 80 SA-53 ASME B16.5-2013 Class 300
ASME;ASME B16.5-2013 SO Class 300; Pipe Flanges and Flanged Fittings;90;133;133;230;139,7;184,2;14,4;28,6;2;23;8;Slip On Flange DN 90 SA-53 ASME B16.5-2013 Class 300
ASME;ASME B16.5-2013 SO Class 300; Pipe Flanges and Flanged Fittings;100;146;146;255;157,2;200;15,8;30,2;2;23;8;Slip On Flange DN 100 SA-53 ASME B16.5-2013 Class 300
ASME;ASME B16.5-2013 SO Class 300; Pipe Flanges and Flanged Fittings;125;178;178;280;185,7;235;15,6;33,4;2;23;8;Slip On Flange DN 125 SA-53 ASME B16.5-2013 Class 300
ASME;ASME B16.5-2013 SO Class 300; Pipe Flanges and Flanged Fittings;150;206;206;320;215,9;269,9;16;35;2;23;12;Slip On Flange DN 150 SA-53 ASME B16.5-2013 Class 300
ASME;ASME B16.5-2013 SO Class 300; Pipe Flanges and Flanged Fittings;200;260;260;380;269,9;330,2;20,3;39,7;2;26;12;Slip On Flange DN 200 SA-53 ASME B16.5-2013 Class 300
ASME;ASME B16.5-2013 SO Class 300; Pipe Flanges and Flanged Fittings;250;321;321;445;323,8;387,4;18,9;46,1;2;29;16;Slip On Flange DN 250 SA-53 ASME B16.5-2013 Class 300
ASME;ASME B16.5-2013 SO Class 300; Pipe Flanges and Flanged Fittings;300;375;375;520;381;450,8;21,7;49,3;2;32;16;Slip On Flange DN 300 SA-53 ASME B16.5-2013 Class 300
ASME;ASME B16.5-2013 SO Class 300; Pipe Flanges and Flanged Fittings;350;425;425;585;412,8;514,4;22,6;52,4;2;32;20;Slip On Flange DN 350 SA-53 ASME B16.5-2013 Class 300
ASME;ASME B16.5-2013 SO Class 300; Pipe Flanges and Flanged Fittings;400;483;483;650;469,9;571,5;25,4;55,6;2;35;20;Slip On Flange DN 400 SA-53 ASME B16.5-2013 Class 300
ASME;ASME B16.5-2013 SO Class 300; Pipe Flanges and Flanged Fittings;450;533;533;710;533,4;628,6;28,2;58,8;2;35;24;Slip On Flange DN 450 SA-53 ASME B16.5-2013 Class 300
ASME;ASME B16.5-2013 SO Class 300; Pipe Flanges and Flanged Fittings;500;587;587;775;584,2;685,8;32;62;2;35;24;Slip On Flange DN 500 SA-53 ASME B16.5-2013 Class 300
ASME;ASME B16.5-2013 SO Class 300; Pipe Flanges and Flanged Fittings;600;702;702;915;692,2;812,8;36,7;68,3;2;42;24;Slip On Flange DN 600 SA-53 ASME B16.5-2013 Class 300
ASME;ASME B16.5-2013 SO Class 400; Pipe Flanges and Flanged Fittings;15;38;38;95;34,9;66,7;7,7;14,3;7;16;4;Slip On Flange DN 15 SA-53 ASME B16.5-2013 Class 400
ASME;ASME B16.5-2013 SO Class 400; Pipe Flanges and Flanged Fittings;20;48;48;115;42,9;82,6;9,1;15,9;7;20;4;Slip On Flange DN 20 SA-53 ASME B16.5-2013 Class 400
ASME;ASME B16.5-2013 SO Class 400; Pipe Flanges and Flanged Fittings;25;54;54;125;50,8;88,9;9,5;17,5;7;20;4;Slip On Flange DN 25 SA-53 ASME B16.5-2013 Class 400
ASME;ASME B16.5-2013 SO Class 400; Pipe Flanges and Flanged Fittings;32;64;64;135;63,5;98,4;8,3;20,7;7;20;4;Slip On Flange DN 32 SA-53 ASME B16.5-2013 Class 400
ASME;ASME B16.5-2013 SO Class 400; Pipe Flanges and Flanged Fittings;40;70;70;155;73;114,3;9,7;22,3;7;23;4;Slip On Flange DN 40 SA-53 ASME B16.5-2013 Class 400
ASME;ASME B16.5-2013 SO Class 400; Pipe Flanges and Flanged Fittings;50;84;84;165;92,1;127;11,6;25,4;7;20;8;Slip On Flange DN 50 SA-53 ASME B16.5-2013 Class 400
ASME;ASME B16.5-2013 SO Class 400; Pipe Flanges and Flanged Fittings;65;100;100;190;104,8;149,2;12,4;28,6;7;23;8;Slip On Flange DN 65 SA-53 ASME B16.5-2013 Class 400
