Тип_документа;Документ;Описание_документа;Ду;Дн;Стенка;Масса;Наименование_трубопровода
ASME;ASME B36.10M-2004 Sch 30;Welded and Seamless Wrought Steel Pipe;750;762;15,88;292,2;Pipe DN 750 SA-240 ASME B36.10M-2004 Sch 30
ASME;ASME B36.10M-2004 Sch 30;Welded and Seamless Wrought Steel Pipe;800;813;15,88;312,17;Pipe DN 800 SA-240 ASME B36.10M-2004 Sch 30
ASME;ASME B36.10M-2004 Sch 30;Welded and Seamless Wrought Steel Pipe;850;864;15,88;332,14;Pipe DN 850 SA-240 ASME B36.10M-2004 Sch 30
ASME;ASME B36.10M-2004 Sch 30;Welded and Seamless Wrought Steel Pipe;900;914;15,88;351,73;Pipe DN 900 SA-240 ASME B36.10M-2004 Sch 30
ASME;ASME B36.10M-2004 Sch 40;Welded and Seamless Wrought Steel Pipe;6;10,3;1,73;0,37;Pipe DN 6 SA-240 ASME B36.10M-2004 Sch 40
ASME;ASME B36.10M-2004 Sch 40;Welded and Seamless Wrought Steel Pipe;8;13,7;2,24;0,63;Pipe DN 8 SA-240 ASME B36.10M-2004 Sch 40
ASME;ASME B36.10M-2004 Sch 40;Welded and Seamless Wrought Steel Pipe;10;17,1;2,31;0,84;Pipe DN 10 SA-240 ASME B36.10M-2004 Sch 40
ASME;ASME B36.10M-2004 Sch 40;Welded and Seamless Wrought Steel Pipe;15;21,3;2,77;1,27;Pipe DN 15 SA-240 ASME B36.10M-2004 Sch 40
ASME;ASME B36.10M-2004 Sch 40;Welded and Seamless Wrought Steel Pipe;20;26,7;2,87;1,69;Pipe DN 20 SA-240 ASME B36.10M-2004 Sch 40
ASME;ASME B36.10M-2004 Sch 40;Welded and Seamless Wrought Steel Pipe;25;33,4;3,38;2,5;Pipe DN 25 SA-240 ASME B36.10M-2004 Sch 40
ASME;ASME B36.10M-2004 Sch 40;Welded and Seamless Wrought Steel Pipe;32;42,2;3,56;3,39;Pipe DN 32 SA-240 ASME B36.10M-2004 Sch 40
ASME;ASME B36.10M-2004 Sch 40;Welded and Seamless Wrought Steel Pipe;40;48,3;3,68;4,05;Pipe DN 40 SA-240 ASME B36.10M-2004 Sch 40
ASME;ASME B36.10M-2004 Sch 40;Welded and Seamless Wrought Steel Pipe;50;60,3;3,91;5,44;Pipe DN 50 SA-240 ASME B36.10M-2004 Sch 40
ASME;ASME B36.10M-2004 Sch 40;Welded and Seamless Wrought Steel Pipe;65;73;5,16;8,63;Pipe DN 65 SA-240 ASME B36.10M-2004 Sch 40
ASME;ASME B36.10M-2004 Sch 40;Welded and Seamless Wrought Steel Pipe;80;88,9;5,49;11,29;Pipe DN 80 SA-240 ASME B36.10M-2004 Sch 40
ASME;ASME B36.10M-2004 Sch 40;Welded and Seamless Wrought Steel Pipe;90;101,6;5,74;13,57;Pipe DN 90 SA-240 ASME B36.10M-2004 Sch 40
ASME;ASME B36.10M-2004 Sch 40;Welded and Seamless Wrought Steel Pipe;100;114,3;6,02;16,08;Pipe DN 100 SA-240 ASME B36.10M-2004 Sch 40
ASME;ASME B36.10M-2004 Sch 40;Welded and Seamless Wrought Steel Pipe;125;141,3;6,55;21,77;Pipe DN 125 SA-240 ASME B36.10M-2004 Sch 40
ASME;ASME B36.10M-2004 Sch 40;Welded and Seamless Wrought Steel Pipe;150;168,3;7,11;28,26;Pipe DN 150 SA-240 ASME B36.10M-2004 Sch 40
ASME;ASME B36.10M-2004 Sch 40;Welded and Seamless Wrought Steel Pipe;200;219,1;8,18;42,55;Pipe DN 200 SA-240 ASME B36.10M-2004 Sch 40
ASME;ASME B36.10M-2004 Sch 40;Welded and Seamless Wrought Steel Pipe;250;273;9,27;60,29;Pipe DN 250 SA-240 ASME B36.10M-2004 Sch 40
ASME;ASME B36.10M-2004 Sch 40;Welded and Seamless Wrought Steel Pipe;300;323,8;10,31;79,71;Pipe DN 300 SA-240 ASME B36.10M-2004 Sch 40
ASME;ASME B36.10M-2004 Sch 40;Welded and Seamless Wrought Steel Pipe;350;355,6;11,13;94,55;Pipe DN 350 SA-240 ASME B36.10M-2004 Sch 40
ASME;ASME B36.10M-2004 Sch 40;Welded and Seamless Wrought Steel Pipe;400;406,4;12,7;123,31;Pipe DN 400 SA-240 ASME B36.10M-2004 Sch 40
ASME;ASME B36.10M-2004 Sch 40;Welded and Seamless Wrought Steel Pipe;450;457;14,27;155,81;Pipe DN 450 SA-240 ASME B36.10M-2004 Sch 40
ASME;ASME B36.10M-2004 Sch 40;Welded and Seamless Wrought Steel Pipe;500;508;15,09;183,43;Pipe DN 500 SA-240 ASME B36.10M-2004 Sch 40
ASME;ASME B36.10M-2004 Sch 40;Welded and Seamless Wrought Steel Pipe;600;610;17,48;255,43;Pipe DN 600 SA-240 ASME B36.10M-2004 Sch 40
ASME;ASME B36.10M-2004 Sch 40;Welded and Seamless Wrought Steel Pipe;800;813;17,48;342,94;Pipe DN 800 SA-240 ASME B36.10M-2004 Sch 40
ASME;ASME B36.10M-2004 Sch 40;Welded and Seamless Wrought Steel Pipe;850;864;17,48;364,92;Pipe DN 850 SA-240 ASME B36.10M-2004 Sch 40
ASME;ASME B36.10M-2004 Sch 40;Welded and Seamless Wrought Steel Pipe;900;914;19,05;420,45;Pipe DN 900 SA-240 ASME B36.10M-2004 Sch 40
ASME;ASME B36.10M-2004 Sch 60;Welded and Seamless Wrought Steel Pipe;200;219,1;10,31;53,09;Pipe DN 200 SA-240 ASME B36.10M-2004 Sch 60
ASME;ASME B36.10M-2004 Sch 60;Welded and Seamless Wrought Steel Pipe;250;273;12,7;81,53;Pipe DN 250 SA-240 ASME B36.10M-2004 Sch 60
ASME;ASME B36.10M-2004 Sch 60;Welded and Seamless Wrought Steel Pipe;300;323,8;14,27;108,93;Pipe DN 300 SA-240 ASME B36.10M-2004 Sch 60
ASME;ASME B36.10M-2004 Sch 60;Welded and Seamless Wrought Steel Pipe;350;355,6;15,09;126,72;Pipe DN 350 SA-240 ASME B36.10M-2004 Sch 60
ASME;ASME B36.10M-2004 Sch 60;Welded and Seamless Wrought Steel Pipe;400;406,4;16,66;160,13;Pipe DN 400 SA-240 ASME B36.10M-2004 Sch 60
ASME;ASME B36.10M-2004 Sch 60;Welded and Seamless Wrought Steel Pipe;450;457;19,05;205,75;Pipe DN 450 SA-240 ASME B36.10M-2004 Sch 60
ASME;ASME B36.10M-2004 Sch 60;Welded and Seamless Wrought Steel Pipe;500;508;20,62;247,84;Pipe DN 500 SA-240 ASME B36.10M-2004 Sch 60
ASME;ASME B36.10M-2004 Sch 60;Welded and Seamless Wrought Steel Pipe;550;559;22,23;294,27;Pipe DN 550 SA-240 ASME B36.10M-2004 Sch 60
ASME;ASME B36.10M-2004 Sch 60;Welded and Seamless Wrought Steel Pipe;600;610;24,61;355,28;Pipe DN 600 SA-240 ASME B36.10M-2004 Sch 60
ASME;ASME B36.10M-2004 Sch 80;Welded and Seamless Wrought Steel Pipe;6;10,3;2,41;0,47;Pipe DN 6 SA-240 ASME B36.10M-2004 Sch 80
ASME;ASME B36.10M-2004 Sch 80;Welded and Seamless Wrought Steel Pipe;8;13,7;3,02;0,8;Pipe DN 8 SA-240 ASME B36.10M-2004 Sch 80
ASME;ASME B36.10M-2004 Sch 80;Welded and Seamless Wrought Steel Pipe;10;17,1;3,2;1,1;Pipe DN 10 SA-240 ASME B36.10M-2004 Sch 80
ASME;ASME B36.10M-2004 Sch 80;Welded and Seamless Wrought Steel Pipe;15;21,3;3,73;1,62;Pipe DN 15 SA-240 ASME B36.10M-2004 Sch 80
ASME;ASME B36.10M-2004 Sch 80;Welded and Seamless Wrought Steel Pipe;20;26,7;3,91;2,2;Pipe DN 20 SA-240 ASME B36.10M-2004 Sch 80
ASME;ASME B36.10M-2004 Sch 80;Welded and Seamless Wrought Steel Pipe;25;33,4;4,55;3,24;Pipe DN 25 SA-240 ASME B36.10M-2004 Sch 80
ASME;ASME B36.10M-2004 Sch 80;Welded and Seamless Wrought Steel Pipe;32;42,2;4,85;4,47;Pipe DN 32 SA-240 ASME B36.10M-2004 Sch 80
ASME;ASME B36.10M-2004 Sch 80;Welded and Seamless Wrought Steel Pipe;40;48,3;5,08;5,41;Pipe DN 40 SA-240 ASME B36.10M-2004 Sch 80
ASME;ASME B36.10M-2004 Sch 80;Welded and Seamless Wrought Steel Pipe;50;60,3;5,54;7,48;Pipe DN 50 SA-240 ASME B36.10M-2004 Sch 80
ASME;ASME B36.10M-2004 Sch 80;Welded and Seamless Wrought Steel Pipe;65;73;7,01;11,41;Pipe DN 65 SA-240 ASME B36.10M-2004 Sch 80
ASME;ASME B36.10M-2004 Sch 80;Welded and Seamless Wrought Steel Pipe;80;88,9;7,62;15,27;Pipe DN 80 SA-240 ASME B36.10M-2004 Sch 80
ASME;ASME B36.10M-2004 Sch 80;Welded and Seamless Wrought Steel Pipe;90;101,6;8,08;18,64;Pipe DN 90 SA-240 ASME B36.10M-2004 Sch 80
ASME;ASME B36.10M-2004 Sch 80;Welded and Seamless Wrought Steel Pipe;100;114,3;8,56;22,32;Pipe DN 100 SA-240 ASME B36.10M-2004 Sch 80
ASME;ASME B36.10M-2004 Sch 80;Welded and Seamless Wrought Steel Pipe;125;141,3;9,53;30,97;Pipe DN 125 SA-240 ASME B36.10M-2004 Sch 80
ASME;ASME B36.10M-2004 Sch 80;Welded and Seamless Wrought Steel Pipe;150;168,3;10,97;42,56;Pipe DN 150 SA-240 ASME B36.10M-2004 Sch 80
ASME;ASME B36.10M-2004 Sch 80;Welded and Seamless Wrought Steel Pipe;200;219,1;12,7;64,64;Pipe DN 200 SA-240 ASME B36.10M-2004 Sch 80
ASME;ASME B36.10M-2004 Sch 80;Welded and Seamless Wrought Steel Pipe;250;273;15,09;95,98;Pipe DN 250 SA-240 ASME B36.10M-2004 Sch 80
ASME;ASME B36.10M-2004 Sch 80;Welded and Seamless Wrought Steel Pipe;300;323,8;17,48;132,05;Pipe DN 300 SA-240 ASME B36.10M-2004 Sch 80
ASME;ASME B36.10M-2004 Sch 80;Welded and Seamless Wrought Steel Pipe;350;355,6;19,05;158,11;Pipe DN 350 SA-240 ASME B36.10M-2004 Sch 80
ASME;ASME B36.10M-2004 Sch 80;Welded and Seamless Wrought Steel Pipe;400;406,4;21,44;203,54;Pipe DN 400 SA-240 ASME B36.10M-2004 Sch 80
ASME;ASME B36.10M-2004 Sch 80;Welded and Seamless Wrought Steel Pipe;450;457;23,83;254,57;Pipe DN 450 SA-240 ASME B36.10M-2004 Sch 80
ASME;ASME B36.10M-2004 Sch 80;Welded and Seamless Wrought Steel Pipe;500;508;26,19;311,19;Pipe DN 500 SA-240 ASME B36.10M-2004 Sch 80
ASME;ASME B36.10M-2004 Sch 80;Welded and Seamless Wrought Steel Pipe;550;559;28,58;373,85;Pipe DN 550 SA-240 ASME B36.10M-2004 Sch 80
ASME;ASME B36.10M-2004 Sch 80;Welded and Seamless Wrought Steel Pipe;600;610;30,96;442,11;Pipe DN 600 SA-240 ASME B36.10M-2004 Sch 80
ASME;ASME B36.10M-2004 Sch 100;Welded and Seamless Wrought Steel Pipe;200;219,1;15,09;75,92;Pipe DN 200 SA-240 ASME B36.10M-2004 Sch 100
ASME;ASME B36.10M-2004 Sch 100;Welded and Seamless Wrought Steel Pipe;250;273;18,26;114,71;Pipe DN 250 SA-240 ASME B36.10M-2004 Sch 100
ASME;ASME B36.10M-2004 Sch 100;Welded and Seamless Wrought Steel Pipe;300;323,8;21,44;159,87;Pipe DN 300 SA-240 ASME B36.10M-2004 Sch 100
ASME;ASME B36.10M-2004 Sch 100;Welded and Seamless Wrought Steel Pipe;350;355,6;23,83;194,98;Pipe DN 350 SA-240 ASME B36.10M-2004 Sch 100
ASME;ASME B36.10M-2004 Sch 100;Welded and Seamless Wrought Steel Pipe;400;406,4;26,19;245,57;Pipe DN 400 SA-240 ASME B36.10M-2004 Sch 100
ASME;ASME B36.10M-2004 Sch 100;Welded and Seamless Wrought Steel Pipe;450;457;29,36;309,64;Pipe DN 450 SA-240 ASME B36.10M-2004 Sch 100
ASME;ASME B36.10M-2004 Sch 100;Welded and Seamless Wrought Steel Pipe;500;508;32,54;381,55;Pipe DN 500 SA-240 ASME B36.10M-2004 Sch 100
ASME;ASME B36.10M-2004 Sch 100;Welded and Seamless Wrought Steel Pipe;550;559;34,93;451,45;Pipe DN 550 SA-240 ASME B36.10M-2004 Sch 100
ASME;ASME B36.10M-2004 Sch 100;Welded and Seamless Wrought Steel Pipe;600;610;38,89;547,74;Pipe DN 600 SA-240 ASME B36.10M-2004 Sch 100
ASME;ASME B36.10M-2004 Sch 120;Welded and Seamless Wrought Steel Pipe;100;114,3;11,13;28,32;Pipe DN 100 SA-240 ASME B36.10M-2004 Sch 120
ASME;ASME B36.10M-2004 Sch 120;Welded and Seamless Wrought Steel Pipe;125;141,3;12,7;40,28;Pipe DN 125 SA-240 ASME B36.10M-2004 Sch 120
ASME;ASME B36.10M-2004 Sch 120;Welded and Seamless Wrought Steel Pipe;150;168,3;14,27;54,21;Pipe DN 150 SA-240 ASME B36.10M-2004 Sch 120
ASME;ASME B36.10M-2004 Sch 120;Welded and Seamless Wrought Steel Pipe;200;219,1;18,26;90,44;Pipe DN 200 SA-240 ASME B36.10M-2004 Sch 120
ASME;ASME B36.10M-2004 Sch 120;Welded and Seamless Wrought Steel Pipe;250;273;21,44;133,01;Pipe DN 250 SA-240 ASME B36.10M-2004 Sch 120
ASME;ASME B36.10M-2004 Sch 120;Welded and Seamless Wrought Steel Pipe;300;323,8;25,4;186,92;Pipe DN 300 SA-240 ASME B36.10M-2004 Sch 120
ASME;ASME B36.10M-2004 Sch 120;Welded and Seamless Wrought Steel Pipe;350;355,6;27,79;224,66;Pipe DN 350 SA-240 ASME B36.10M-2004 Sch 120
ASME;ASME B36.10M-2004 Sch 120;Welded and Seamless Wrought Steel Pipe;400;406,4;30,96;286,66;Pipe DN 400 SA-240 ASME B36.10M-2004 Sch 120
ASME;ASME B36.10M-2004 Sch 120;Welded and Seamless Wrought Steel Pipe;450;457;34,93;363,58;Pipe DN 450 SA-240 ASME B36.10M-2004 Sch 120
ASME;ASME B36.10M-2004 Sch 120;Welded and Seamless Wrought Steel Pipe;500;508;38,1;441,52;Pipe DN 500 SA-240 ASME B36.10M-2004 Sch 120
ASME;ASME B36.10M-2004 Sch 120;Welded and Seamless Wrought Steel Pipe;550;559;41,28;527,05;Pipe DN 550 SA-240 ASME B36.10M-2004 Sch 120
ASME;ASME B36.10M-2004 Sch 120;Welded and Seamless Wrought Steel Pipe;600;610;46,02;640,07;Pipe DN 600 SA-240 ASME B36.10M-2004 Sch 120
ASME;ASME B36.10M-2004 Sch 140;Welded and Seamless Wrought Steel Pipe;200;219,1;20,62;100,93;Pipe DN 200 SA-240 ASME B36.10M-2004 Sch 140
ASME;ASME B36.10M-2004 Sch 140;Welded and Seamless Wrought Steel Pipe;250;273;25,4;155,1;Pipe DN 250 SA-240 ASME B36.10M-2004 Sch 140
ASME;ASME B36.10M-2004 Sch 140;Welded and Seamless Wrought Steel Pipe;300;323,8;28,58;208,08;Pipe DN 300 SA-240 ASME B36.10M-2004 Sch 140
ASME;ASME B36.10M-2004 Sch 140;Welded and Seamless Wrought Steel Pipe;350;355,6;31,75;253,58;Pipe DN 350 SA-240 ASME B36.10M-2004 Sch 140
ASME;ASME B36.10M-2004 Sch 140;Welded and Seamless Wrought Steel Pipe;400;406,4;36,53;333,21;Pipe DN 400 SA-240 ASME B36.10M-2004 Sch 140
ASME;ASME B36.10M-2004 Sch 140;Welded and Seamless Wrought Steel Pipe;450;457;39,67;408,28;Pipe DN 450 SA-240 ASME B36.10M-2004 Sch 140
ASME;ASME B36.10M-2004 Sch 140;Welded and Seamless Wrought Steel Pipe;500;508;44,45;508,15;Pipe DN 500 SA-240 ASME B36.10M-2004 Sch 140
ASME;ASME B36.10M-2004 Sch 140;Welded and Seamless Wrought Steel Pipe;550;559;47,63;600,67;Pipe DN 550 SA-240 ASME B36.10M-2004 Sch 140
ASME;ASME B36.10M-2004 Sch 140;Welded and Seamless Wrought Steel Pipe;600;610;52,37;720,19;Pipe DN 600 SA-240 ASME B36.10M-2004 Sch 140
ASME;ASME B36.10M-2004 Sch 160;Welded and Seamless Wrought Steel Pipe;15;21,3;4,78;1,95;Pipe DN 15 SA-240 ASME B36.10M-2004 Sch 160
ASME;ASME B36.10M-2004 Sch 160;Welded and Seamless Wrought Steel Pipe;20;26,7;5,56;2,9;Pipe DN 20 SA-240 ASME B36.10M-2004 Sch 160
ASME;ASME B36.10M-2004 Sch 160;Welded and Seamless Wrought Steel Pipe;25;33,4;6,35;4,24;Pipe DN 25 SA-240 ASME B36.10M-2004 Sch 160
ASME;ASME B36.10M-2004 Sch 160;Welded and Seamless Wrought Steel Pipe;32;42,2;6,35;5,61;Pipe DN 32 SA-240 ASME B36.10M-2004 Sch 160
ASME;ASME B36.10M-2004 Sch 160;Welded and Seamless Wrought Steel Pipe;40;48,3;7,14;7,25;Pipe DN 40 SA-240 ASME B36.10M-2004 Sch 160
ASME;ASME B36.10M-2004 Sch 160;Welded and Seamless Wrought Steel Pipe;50;60,3;8,74;11,11;Pipe DN 50 SA-240 ASME B36.10M-2004 Sch 160
ASME;ASME B36.10M-2004 Sch 160;Welded and Seamless Wrought Steel Pipe;65;73;9,53;14,92;Pipe DN 65 SA-240 ASME B36.10M-2004 Sch 160
ASME;ASME B36.10M-2004 Sch 160;Welded and Seamless Wrought Steel Pipe;80;88,9;11,13;21,35;Pipe DN 80 SA-240 ASME B36.10M-2004 Sch 160
ASME;ASME B36.10M-2004 Sch 160;Welded and Seamless Wrought Steel Pipe;100;114,3;13,49;33,54;Pipe DN 100 SA-240 ASME B36.10M-2004 Sch 160
ASME;ASME B36.10M-2004 Sch 160;Welded and Seamless Wrought Steel Pipe;125;141,3;15,88;49,12;Pipe DN 125 SA-240 ASME B36.10M-2004 Sch 160
ASME;ASME B36.10M-2004 Sch 160;Welded and Seamless Wrought Steel Pipe;150;168,3;18,26;67,57;Pipe DN 150 SA-240 ASME B36.10M-2004 Sch 160
ASME;ASME B36.10M-2004 Sch 160;Welded and Seamless Wrought Steel Pipe;200;219,1;23,01;111,27;Pipe DN 200 SA-240 ASME B36.10M-2004 Sch 160
ASME;ASME B36.10M-2004 Sch 160;Welded and Seamless Wrought Steel Pipe;250;273;28,58;172,27;Pipe DN 250 SA-240 ASME B36.10M-2004 Sch 160
ASME;ASME B36.10M-2004 Sch 160;Welded and Seamless Wrought Steel Pipe;300;323,8;33,32;238,69;Pipe DN 300 SA-240 ASME B36.10M-2004 Sch 160
ASME;ASME B36.10M-2004 Sch 160;Welded and Seamless Wrought Steel Pipe;350;355,6;35,71;281,72;Pipe DN 350 SA-240 ASME B36.10M-2004 Sch 160
ASME;ASME B36.10M-2004 Sch 160;Welded and Seamless Wrought Steel Pipe;400;406,4;40,49;365,38;Pipe DN 400 SA-240 ASME B36.10M-2004 Sch 160
ASME;ASME B36.10M-2004 Sch 160;Welded and Seamless Wrought Steel Pipe;450;457;45,24;459,39;Pipe DN 450 SA-240 ASME B36.10M-2004 Sch 160
ASME;ASME B36.10M-2004 Sch 160;Welded and Seamless Wrought Steel Pipe;500;508;50,01;564,85;Pipe DN 500 SA-240 ASME B36.10M-2004 Sch 160
ASME;ASME B36.10M-2004 Sch 160;Welded and Seamless Wrought Steel Pipe;550;559;53,98;672,3;Pipe DN 550 SA-240 ASME B36.10M-2004 Sch 160
ASME;ASME B36.10M-2004 Sch 160;Welded and Seamless Wrought Steel Pipe;600;610;59,54;808,27;Pipe DN 600 SA-240 ASME B36.10M-2004 Sch 160
ASME;ASME B36.10M-2004 Sch STD;Welded and Seamless Wrought Steel Pipe;6;10,3;1,73;0,37;Pipe DN 6 SA-53 ASME B36.10M-2004 Sch STD
ASME;ASME B36.10M-2004 Sch STD;Welded and Seamless Wrought Steel Pipe;8;13,7;2,24;0,63;Pipe DN 8 SA-53 ASME B36.10M-2004 Sch STD
ASME;ASME B36.10M-2004 Sch STD;Welded and Seamless Wrought Steel Pipe;10;17,1;2,31;0,84;Pipe DN 10 SA-53 ASME B36.10M-2004 Sch STD
ASME;ASME B36.10M-2004 Sch STD;Welded and Seamless Wrought Steel Pipe;15;21,3;2,77;1,27;Pipe DN 15 SA-53 ASME B36.10M-2004 Sch STD
ASME;ASME B36.10M-2004 Sch STD;Welded and Seamless Wrought Steel Pipe;20;26,7;2,87;1,69;Pipe DN 20 SA-53 ASME B36.10M-2004 Sch STD
ASME;ASME B36.10M-2004 Sch STD;Welded and Seamless Wrought Steel Pipe;25;33,4;3,38;2,5;Pipe DN 25 SA-53 ASME B36.10M-2004 Sch STD
ASME;ASME B36.10M-2004 Sch STD;Welded and Seamless Wrought Steel Pipe;32;42,2;3,56;3,39;Pipe DN 32 SA-53 ASME B36.10M-2004 Sch STD
ASME;ASME B36.10M-2004 Sch STD;Welded and Seamless Wrought Steel Pipe;40;48,3;3,68;4,05;Pipe DN 40 SA-53 ASME B36.10M-2004 Sch STD
ASME;ASME B36.10M-2004 Sch STD;Welded and Seamless Wrought Steel Pipe;50;60,3;3,91;5,44;Pipe DN 50 SA-53 ASME B36.10M-2004 Sch STD
ASME;ASME B36.10M-2004 Sch STD;Welded and Seamless Wrought Steel Pipe;65;73;5,16;8,63;Pipe DN 65 SA-53 ASME B36.10M-2004 Sch STD
ASME;ASME B36.10M-2004 Sch STD;Welded and Seamless Wrought Steel Pipe;80;88,9;5,49;11,29;Pipe DN 80 SA-53 ASME B36.10M-2004 Sch STD
ASME;ASME B36.10M-2004 Sch STD;Welded and Seamless Wrought Steel Pipe;90;101,6;5,74;13,57;Pipe DN 90 SA-53 ASME B36.10M-2004 Sch STD
ASME;ASME B36.10M-2004 Sch STD;Welded and Seamless Wrought Steel Pipe;100;114,3;6,02;16,08;Pipe DN 100 SA-53 ASME B36.10M-2004 Sch STD
ASME;ASME B36.10M-2004 Sch STD;Welded and Seamless Wrought Steel Pipe;125;141,3;6,55;21,77;Pipe DN 125 SA-53 ASME B36.10M-2004 Sch STD
ASME;ASME B36.10M-2004 Sch STD;Welded and Seamless Wrought Steel Pipe;150;168,3;7,11;28,26;Pipe DN 150 SA-53 ASME B36.10M-2004 Sch STD
ASME;ASME B36.10M-2004 Sch STD;Welded and Seamless Wrought Steel Pipe;200;219,1;8,18;42,55;Pipe DN 200 SA-53 ASME B36.10M-2004 Sch STD
ASME;ASME B36.10M-2004 Sch STD;Welded and Seamless Wrought Steel Pipe;250;273;9,27;60,29;Pipe DN 250 SA-53 ASME B36.10M-2004 Sch STD
ASME;ASME B36.10M-2004 Sch STD;Welded and Seamless Wrought Steel Pipe;300;323,8;9,53;73,86;Pipe DN 300 SA-53 ASME B36.10M-2004 Sch STD
ASME;ASME B36.10M-2004 Sch STD;Welded and Seamless Wrought Steel Pipe;350;355,6;9,53;81,33;Pipe DN 350 SA-53 ASME B36.10M-2004 Sch STD
ASME;ASME B36.10M-2004 Sch STD;Welded and Seamless Wrought Steel Pipe;400;406,4;9,53;93,27;Pipe DN 400 SA-53 ASME B36.10M-2004 Sch STD
ASME;ASME B36.10M-2004 Sch STD;Welded and Seamless Wrought Steel Pipe;450;457;9,53;105,17;Pipe DN 450 SA-53 ASME B36.10M-2004 Sch STD
ASME;ASME B36.10M-2004 Sch STD;Welded and Seamless Wrought Steel Pipe;500;508;9,53;117,15;Pipe DN 500 SA-53 ASME B36.10M-2004 Sch STD
ASME;ASME B36.10M-2004 Sch STD;Welded and Seamless Wrought Steel Pipe;550;559;9,53;129,14;Pipe DN 550 SA-53 ASME B36.10M-2004 Sch STD
ASME;ASME B36.10M-2004 Sch STD;Welded and Seamless Wrought Steel Pipe;600;610;9,53;141,12;Pipe DN 600 SA-53 ASME B36.10M-2004 Sch STD
ASME;ASME B36.10M-2004 Sch STD;Welded and Seamless Wrought Steel Pipe;650;660;9,53;152,88;Pipe DN 650 SA-53 ASME B36.10M-2004 Sch STD
ASME;ASME B36.10M-2004 Sch STD;Welded and Seamless Wrought Steel Pipe;700;711;9,53;164,86;Pipe DN 700 SA-53 ASME B36.10M-2004 Sch STD
ASME;ASME B36.10M-2004 Sch STD;Welded and Seamless Wrought Steel Pipe;750;762;9,53;176,85;Pipe DN 750 SA-53 ASME B36.10M-2004 Sch STD
ASME;ASME B36.10M-2004 Sch STD;Welded and Seamless Wrought Steel Pipe;800;813;9,53;188,83;Pipe DN 800 SA-53 ASME B36.10M-2004 Sch STD
ASME;ASME B36.10M-2004 Sch STD;Welded and Seamless Wrought Steel Pipe;850;864;9,53;200,82;Pipe DN 850 SA-53 ASME B36.10M-2004 Sch STD
ASME;ASME B36.10M-2004 Sch STD;Welded and Seamless Wrought Steel Pipe;900;914;9,53;212,57;Pipe DN 900 SA-53 ASME B36.10M-2004 Sch STD
ASME;ASME B36.10M-2004 Sch STD;Welded and Seamless Wrought Steel Pipe;950;965;9,53;224,56;Pipe DN 950 SA-53 ASME B36.10M-2004 Sch STD
ASME;ASME B36.10M-2004 Sch STD;Welded and Seamless Wrought Steel Pipe;1000;1016;9,53;236,54;Pipe DN 1000 SA-53 ASME B36.10M-2004 Sch STD
ASME;ASME B36.10M-2004 Sch STD;Welded and Seamless Wrought Steel Pipe;1050;1067;9,53;248,53;Pipe DN 1050 SA-53 ASME B36.10M-2004 Sch STD
ASME;ASME B36.10M-2004 Sch STD;Welded and Seamless Wrought Steel Pipe;1100;1118;9,53;260,52;Pipe DN 1100 SA-53 ASME B36.10M-2004 Sch STD
ASME;ASME B36.10M-2004 Sch STD;Welded and Seamless Wrought Steel Pipe;1150;1168;9,53;272,27;Pipe DN 1150 SA-53 ASME B36.10M-2004 Sch STD
ASME;ASME B36.10M-2004 Sch STD;Welded and Seamless Wrought Steel Pipe;1200;1219;9,53;284,25;Pipe DN 1200 SA-53 ASME B36.10M-2004 Sch STD
ASME;ASME B36.10M-2004 Sch XS;Welded and Seamless Wrought Steel Pipe;6;10,3;2,41;0,47;Pipe DN 6 SA-53 ASME B36.10M-2004 Sch XS
ASME;ASME B36.10M-2004 Sch XS;Welded and Seamless Wrought Steel Pipe;8;13,7;3,02;0,8;Pipe DN 8 SA-53 ASME B36.10M-2004 Sch XS
ASME;ASME B36.10M-2004 Sch XS;Welded and Seamless Wrought Steel Pipe;10;17,1;3,2;1,1;Pipe DN 10 SA-53 ASME B36.10M-2004 Sch XS
ASME;ASME B36.10M-2004 Sch XS;Welded and Seamless Wrought Steel Pipe;15;21,3;3,73;1,62;Pipe DN 15 SA-53 ASME B36.10M-2004 Sch XS
ASME;ASME B36.10M-2004 Sch XS;Welded and Seamless Wrought Steel Pipe;20;26,7;3,91;2,2;Pipe DN 20 SA-53 ASME B36.10M-2004 Sch XS
ASME;ASME B36.10M-2004 Sch XS;Welded and Seamless Wrought Steel Pipe;25;33,4;4,55;3,24;Pipe DN 25 SA-53 ASME B36.10M-2004 Sch XS
ASME;ASME B36.10M-2004 Sch XS;Welded and Seamless Wrought Steel Pipe;32;42,2;4,85;4,47;Pipe DN 32 SA-53 ASME B36.10M-2004 Sch XS
ASME;ASME B36.10M-2004 Sch XS;Welded and Seamless Wrought Steel Pipe;40;48,3;5,08;5,41;Pipe DN 40 SA-53 ASME B36.10M-2004 Sch XS
ASME;ASME B36.10M-2004 Sch XS;Welded and Seamless Wrought Steel Pipe;50;60,3;5,54;7,48;Pipe DN 50 SA-53 ASME B36.10M-2004 Sch XS
ASME;ASME B36.10M-2004 Sch XS;Welded and Seamless Wrought Steel Pipe;65;73;7,01;11,41;Pipe DN 65 SA-53 ASME B36.10M-2004 Sch XS
